Modello,Domanda,Risposta,Retrieval,Faithfulness,Answer_Relevancy,Context_Precision,Context_Recall,Noise_Sensitivity,Semantic_Similarity,Answer_Correctness
GPT4.1,1,0,0,0,1,1,1,0,1,1
GPT4.1,2,1,1,1,1,1,1,0,0,1
GPT4.1,3,1,1,0,1,1,1,1,1,1
GPT4.1,4,0,1,0,1,1,1,0,1,1
GPT4.1,5,1,1,1,1,1,1,0,1,1
GPT4.1,6,0,0,1,1,1,1,0,1,1
GPT4.1,1,1,1,1,1,1,1,1,1,1
GPT4.1,8,0,1,1,1,1,1,0,1,1
qwen2.5,1,0,0,1,1,0,0,1,1,1
qwen2.5,2,1,1,1,1,1,1,1,0,1
qwen2.5,3,1,1,0,1,1,1,1,1,1
qwen2.5,4,0,1,1,1,0,1,0,1,0
qwen2.5,5,1,1,1,1,1,1,1,1,0
qwen2.5,6,0,0,0,1,0,1,,1,1
qwen2.5,7,1,1,1,1,1,1,1,1,1
qwen2.5,8,0,1,1,1,0,0,1,1,1
gemini-2.5,1,0,0,0,1,1,1,0,1,1
gemini-2.5,2,,,,,,,,,1
gemini-2.5,3,1,1,0,,1,1,1,1,1
gemini-2.5,4,0,1,0,1,,,,1,1
gemini-2.5,5,1,1,1,1,1,1,,0,1
gemini-2.5,6,0,0,,,,,,,1
gemini-2.5,7,1,1,,1,,,,1,1
gemini-2.5,8,0,1,,,,,,0,